G,I,GI,II
182.0897,96.2261,2570.1475,0.7724
182.2337,96.2961,2570.1475,0.7724
182.3676,96.3523,2432.3645,0.8397
182.4915,96.3949,2432.3645,0.8397
182.6054,96.4238,2432.3645,0.8397
182.7097,96.4393,2432.3645,0.8397
182.8043,96.4415,2432.3645,0.8397
182.8894,96.4305,2273.9533,0.9349
182.9652,96.4067,2273.9533,0.9349
183.0318,96.3701,2273.9533,0.9349
183.0892,96.3210,2273.9533,0.9349
183.1378,96.2595,2273.9533,0.9349
183.1775,96.1858,2099.9874,0.8909
183.2085,96.1003,2099.9874,0.8909
183.2310,96.0030,2099.9874,0.8909
183.2450,95.8942,2099.9874,0.8909
183.2508,95.7741,2099.9874,0.8909
183.2484,95.6430,1915.7289,0.8553
183.2379,95.5010,1915.7289,0.8553
183.2194,95.3499,1915.7289,0.8553
183.1928,95.1945,1915.7289,0.8553
183.1583,95.0387,1915.7289,0.8553
183.1160,94.8849,1726.3688,0.8259
183.0658,94.7344,1726.3688,0.8259
183.0081,94.5878,1726.3688,0.8259
182.9428,94.4449,1726.3688,0.8259
182.8700,94.3053,1726.3688,0.8259
182.7900,94.1683,1536.7924,0.8002
182.7029,94.0330,1536.7924,0.8002
182.6088,93.8984,1536.7924,0.8002
182.5078,93.7637,1536.7924,0.8002
182.4000,93.6278,1536.7924,0.8002
182.2857,93.4900,1351.3844,0.7760
182.1649,93.3493,1351.3844,0.7760
182.0377,93.2049,1351.3844,0.7760
181.9044,93.0563,1351.3844,0.7760
181.7650,92.9028,1351.3844,0.7760
181.6196,92.7438,1173.8823,0.7309
181.4685,92.5790,1173.8823,0.7309
181.3117,92.4080,1173.8823,0.7309
181.1493,92.2303,1173.8823,0.7309
180.9814,92.0458,1173.8823,0.7309
180.8083,91.8542,1007.2844,0.6618
180.6300,91.6555,1007.2844,0.6618
180.4466,91.6008,1007.2844,0.6618
180.2583,91.5932,1007.2844,0.6618
180.0650,91.6090,1007.2844,0.6618
179.8670,91.6389,853.8105,0.6497
179.6643,91.6769,853.8105,0.6497
179.4570,91.7185,853.8105,0.6497
179.2452,91.7599,853.8105,0.6497
179.0290,91.7984,853.8105,0.6497
178.8085,91.8316,714.9120,0.6301
178.5838,91.8577,714.9120,0.6301
178.3549,91.8750,714.9120,0.6301
178.1221,91.8826,714.9120,0.6301
177.8852,91.8794,714.9120,0.6301
177.6445,91.8649,591.3237,1.1602
177.3999,91.8385,591.3237,1.1602
177.1517,91.8000,591.3237,1.1602
176.8998,91.7489,591.3237,1.1602
176.6443,91.6853,591.3237,1.1602
176.3853,91.6090,483.1473,1.7309
176.1229,91.5202,483.1473,1.7309
175.8571,91.4188,483.1473,1.7309
175.5880,91.3049,483.1473,1.7309
175.3158,91.1788,483.1473,1.7309
175.0404,91.0405,389.9557,2.3391
174.7620,90.8903,389.9557,2.3391
174.4806,90.7284,389.9557,2.3391
174.1963,90.5550,389.9557,2.3391
173.9092,90.3703,389.9557,2.3391
173.6194,90.1746,310.9083,2.4240
173.3269,89.9680,310.9083,2.4240
173.0318,89.7510,310.9083,2.4240
172.7342,89.5236,310.9083,2.4240
172.4342,89.2863,310.9083,2.4240
172.1318,89.0391,244.8671,2.4901
171.8272,88.7824,244.8671,2.4901
171.5204,88.5164,244.8671,2.4901
171.2115,88.2414,244.8671,2.4901
170.9006,87.9576,244.8671,2.4901
170.5877,87.6653,190.5065,2.5349
170.2730,87.3646,190.5065,2.5349
169.9564,87.0559,190.5065,2.5349
169.6382,86.7394,190.5065,2.5349
169.3184,86.4153,190.5065,2.5349
168.9970,86.0839,146.4097,2.5566
168.6741,85.7454,146.4097,2.5566
168.3499,85.3999,146.4097,2.5566
168.0244,85.0478,146.4097,2.5566
167.6976,84.6893,146.4097,2.5566
167.3697,84.3246,111.1504,2.5537
167.0408,83.9539,111.1504,2.5537
166.7108,83.5774,111.1504,2.5537
166.3799,83.1953,111.1504,2.5537
