G,I,GI,II
89.7470,26.3590,0.0000,0.0000
89.7465,26.3577,0.0000,0.0000
89.7460,26.3564,0.0000,0.0000
89.7456,26.3551,0.0000,0.0000
89.7451,26.3538,0.0000,0.0000
89.7446,26.3526,0.0000,0.0000
89.7442,26.3513,0.0000,0.0000
89.7437,26.3501,0.0000,0.0000
89.7433,26.3488,0.0000,0.0000
89.7429,26.3476,0.0000,0.0000
89.7424,26.3464,0.0000,0.0000
89.7420,26.3452,0.0000,0.0000
89.7416,26.3440,0.0000,0.0000
89.7412,26.3428,0.0000,0.0000
89.7408,26.3416,0.0000,0.0000
89.7404,26.3405,0.0000,0.0000
89.7400,26.3393,0.0000,0.0000
89.7396,26.3382,0.0000,0.0000
89.7392,26.3370,0.0000,0.0000
89.7388,26.3359,0.0000,0.0000
89.7384,26.3348,0.0000,0.0000
89.7381,26.3337,0.0000,0.0000
89.7377,26.3326,0.0000,0.0000
89.7373,26.3316,0.0000,0.0000
89.7370,26.3305,0.0000,0.0000
89.7366,26.3294,0.0000,0.0000
89.7363,26.3284,0.0000,0.0000
89.7360,26.3274,0.0000,0.0000
89.7356,26.3264,0.0000,0.0000
89.7353,26.3254,0.0000,0.0000
89.7350,26.3244,0.0000,0.0000
89.7347,26.3234,0.0000,0.0000
89.7344,26.3224,0.0000,0.0000
89.7341,26.3215,0.0000,0.0000
89.7337,26.3205,0.0000,0.0000
89.7335,26.3196,0.0000,0.0000
89.7332,26.3186,0.0000,0.0000
89.7329,26.3177,0.0000,0.0000
89.7326,26.3168,0.0000,0.0000
89.7323,26.3159,0.0000,0.0000
89.7320,26.3151,0.0000,0.0000
89.7318,26.3142,0.0000,0.0000
89.7315,26.3133,0.0000,0.0000
89.7312,26.3125,0.0000,0.0000
89.7310,26.3117,0.0000,0.0000
89.7307,26.3108,0.0000,0.0000
89.7305,26.3100,0.0000,0.0000
89.7303,26.3092,0.0000,0.0000
89.7300,26.3084,0.0000,0.0000
89.7298,26.3076,0.0000,0.0000
89.7296,26.3069,0.0000,0.0000
89.7293,26.3061,0.0000,0.0000
89.7291,26.3054,0.0000,0.0000
89.7289,26.3046,0.0000,0.0000
89.7287,26.3039,0.0000,0.0000
89.7285,26.3032,0.0000,0.0000
89.7283,26.3025,0.0000,0.0000
89.7281,26.3018,0.0000,0.0000
89.7279,26.3011,0.0000,0.0000
89.7277,26.3004,0.0000,0.0000
89.7275,26.2998,0.0000,0.0000
89.7273,26.2991,0.0000,0.0000
89.7271,26.2985,0.0000,0.0000
89.7270,26.2978,0.0000,0.0000
89.7268,26.2972,0.0000,0.0000
89.7266,26.2966,0.0000,0.0000
89.7264,26.2960,0.0000,0.0000
89.7263,26.2954,0.0000,0.0000
89.7261,26.2948,0.0000,0.0000
89.7260,26.2942,0.0000,0.0000
89.7258,26.2937,0.0000,0.0000
89.7257,26.2931,0.0000,0.0000
89.7255,26.2926,0.0000,0.0000
89.7254,26.2920,0.0000,0.0000
89.7252,26.2915,0.0000,0.0000
89.7251,26.2910,0.0000,0.0000
89.7250,26.2905,0.0000,0.0000
89.7248,26.2900,0.0000,0.0000
89.7247,26.2895,0.0000,0.0000
89.7246,26.2890,0.0000,0.0000
89.7245,26.2885,0.0000,0.0000
89.7243,26.2881,0.0000,0.0000
89.7242,26.2876,0.0000,0.0000
89.7241,26.2871,0.0000,0.0000
89.7240,26.2867,0.0000,0.0000
89.7239,26.2863,0.0000,0.0000
89.7238,26.2858,0.0000,0.0000
89.7237,26.2854,0.0000,0.0000
89.7236,26.2850,0.0000,0.0000
89.7235,26.2846,0.0000,0.0000
89.7234,26.2842,0.0000,0.0000
89.7233,26.2838,0.0000,0.0000
89.7232,26.2834,0.0000,0.0000
89.7231,26.2831,0.0000,0.0000
89.7230,26.2827,0.0000,0.0000
89.7229,26.2824,0.0000,0.0000
89.7228,26.2820,0.0000,0.0000
89.7228,26.2817,0.0000,0.0000
89.7227,26.2813,0.0000,0.0000
89.7226,26.2810,0.0000,0.0000
89.7225,26.2807,0.0000,0.0000
89.7225,26.2803,0.0000,0.0000
89.7224,26.2800,0.0000,0.0000
89.7223,26.2797,0.0000,0.0000
89.7222,26.2794,0.0000,0.0000
89.7222,26.2791,0.0000,0.0000
89.7221,26.2789,0.0000,0.0000
89.7221,26.2786,0.0000,0.0000
89.7220,26.2783,0.0000,0.0000
89.7219,26.2780,0.0000,0.0000
89.7219,26.2778,0.0000,0.0000
89.7218,26.2775,0.0000,0.0000
89.7218,26.2773,0.0000,0.0000
89.7217,26.2770,0.0000,0.0000
89.7217,26.2768,0.0000,0.0000
89.7216,26.2765,0.0000,0.0000
89.7216,26.2763,0.0000,0.0000
89.7215,26.2761,0.0000,0.0000
89.7215,26.2759,0.0000,0.0000
89.7214,26.2757,0.0000,0.0000
89.7214,26.2754,0.0000,0.0000
89.7213,26.2752,0.0000,0.0000
89.7213,26.2750,0.0000,0.0000
89.7213,26.2748,0.0000,0.0000
89.7212,26.2746,0.0000,0.0000
89.7212,26.2745,0.0000,0.0000
89.7211,26.2743,0.0000,0.0000
89.7211,26.2741,0.0000,0.0000
89.7211,26.2739,0.0000,0.0000
89.7210,26.2738,0.0000,0.0000
89.7210,26.2736,0.0000,0.0000
89.7210,26.2734,0.0000,0.0000
89.7209,26.2733,0.0000,0.0000
89.7209,26.2731,0.0000,0.0000
89.7209,26.2730,0.0000,0.0000
89.7208,26.2728,0.0000,0.0000
89.7208,26.2727,0.0000,0.0000
89.7208,26.2725,0.0000,0.0000
89.7208,26.2724,0.0000,0.0000
89.7207,26.2723,0.0000,0.0000
89.7207,26.2721,0.0000,0.0000
89.7207,26.2720,0.0000,0.0000
89.7207,26.2719,0.0000,0.0000
89.7206,26.2718,0.0000,0.0000
89.7206,26.2717,0.0000,0.0000
89.7206,26.2715,0.0000,0.0000
89.7206,26.2714,0.0000,0.0000
89.7206,26.2713,0.0000,0.0000
89.7205,26.2712,0.0000,0.0000
89.7205,26.2711,0.0000,0.0000
89.7205,26.2710,0.0000,0.0000
