G,I,GI,II
131.9660,20.4206,0.0000,0.0000
131.9556,20.4215,0.0000,0.0000
131.9452,20.4221,0.0000,0.0000
131.9348,20.4223,0.0000,0.0000
131.9243,20.4222,0.0000,0.0000
131.9137,20.4218,0.0000,0.0000
131.9031,20.4211,0.0000,0.0000
131.8925,20.4201,0.0000,0.0000
131.8818,20.4187,0.0000,0.0000
131.8711,20.4171,0.0000,0.0000
131.8604,20.4151,0.0000,0.0000
131.8496,20.4129,0.0000,0.0000
131.8388,20.4104,0.0000,0.0000
131.8279,20.4076,0.0000,0.0000
131.8170,20.4045,0.0000,0.0000
131.8061,20.4012,0.0000,0.0000
131.7952,20.3976,0.0000,0.0000
131.7842,20.3938,0.0000,0.0000
131.7732,20.3897,0.0000,0.0000
131.7621,20.3854,0.0000,0.0000
131.7510,20.3808,0.0000,0.0000
131.7399,20.3760,0.0000,0.0000
131.7288,20.3710,0.0000,0.0000
131.7177,20.3658,0.0000,0.0000
131.7065,20.3603,0.0000,0.0000
131.6953,20.3546,0.0000,0.0000
131.6841,20.3488,0.0000,0.0000
131.6728,20.3427,0.0000,0.0000
131.6616,20.3364,0.0000,0.0000
131.6503,20.3300,0.0000,0.0000
131.6390,20.3233,0.0000,0.0000
131.6277,20.3165,0.0000,0.0000
131.6164,20.3095,0.0000,0.0000
131.6051,20.3023,0.0000,0.0000
131.5937,20.2950,0.0000,0.0000
131.5824,20.2875,0.0000,0.0000
131.5710,20.2798,0.0000,0.0000
131.5597,20.2720,0.0000,0.0000
131.5483,20.2641,0.0000,0.0000
131.5369,20.2559,0.0000,0.0000
131.5256,20.2477,0.0000,0.0000
131.5142,20.2393,0.0000,0.0000
131.5028,20.2308,0.0000,0.0000
131.4914,20.2221,0.0000,0.0000
131.4800,20.2133,0.0000,0.0000
131.4687,20.2044,0.0000,0.0000
131.4573,20.1954,0.0000,0.0000
131.4459,20.1863,0.0000,0.0000
131.4346,20.1770,0.0000,0.0000
131.4232,20.1677,0.0000,0.0000
131.4119,20.1582,0.0000,0.0000
131.4006,20.1487,0.0000,0.0000
131.3893,20.1390,0.0000,0.0000
131.3780,20.1293,0.0000,0.0000
131.3667,20.1194,0.0000,0.0000
131.3554,20.1095,0.0000,0.0000
131.3442,20.0995,0.0000,0.0000
131.3329,20.0894,0.0000,0.0000
131.3217,20.0793,0.0000,0.0000
131.3105,20.0690,0.0000,0.0000
131.2993,20.0587,0.0000,0.0000
131.2882,20.0484,0.0000,0.0000
131.2770,20.0379,0.0000,0.0000
131.2659,20.0274,0.0000,0.0000
131.2549,20.0169,0.0000,0.0000
131.2438,20.0063,0.0000,0.0000
131.2328,19.9956,0.0000,0.0000
131.2218,19.9849,0.0000,0.0000
131.2108,19.9742,0.0000,0.0000
131.1999,19.9634,0.0000,0.0000
131.1889,19.9526,0.0000,0.0000
131.1781,19.9417,0.0000,0.0000
131.1672,19.9308,0.0000,0.0000
131.1564,19.9198,0.0000,0.0000
131.1456,19.9088,0.0000,0.0000
131.1349,19.8978,0.0000,0.0000
131.1242,19.8868,0.0000,0.0000
131.1135,19.8758,0.0000,0.0000
131.1029,19.8647,0.0000,0.0000
131.0923,19.8536,0.0000,0.0000
131.0817,19.8425,0.0000,0.0000
131.0712,19.8314,0.0000,0.0000
131.0608,19.8202,0.0000,0.0000
131.0503,19.8091,0.0000,0.0000
131.0400,19.7979,0.0000,0.0000
131.0296,19.7868,0.0000,0.0000
131.0193,19.7756,0.0000,0.0000
131.0091,19.7644,0.0000,0.0000
130.9989,19.7533,0.0000,0.0000
130.9887,19.7421,0.0000,0.0000
130.9786,19.7309,0.0000,0.0000
130.9685,19.7198,0.0000,0.0000
130.9585,19.7086,0.0000,0.0000
130.9485,19.6975,0.0000,0.0000
130.9386,19.6864,0.0000,0.0000
130.9288,19.6752,0.0000,0.0000
130.9189,19.6641,0.0000,0.0000
130.9092,19.6530,0.0000,0.0000
130.8995,19.6420,0.0000,0.0000
130.8898,19.6309,0.0000,0.0000
130.8802,19.6199,0.0000,0.0000
130.8706,19.6089,0.0000,0.0000
130.8611,19.5979,0.0000,0.0000
130.8517,19.5869,0.0000,0.0000
130.8423,19.5760,0.0000,0.0000
130.8329,19.5650,0.0000,0.0000
130.8236,19.5542,0.0000,0.0000
130.8144,19.5433,0.0000,0.0000
130.8052,19.5325,0.0000,0.0000
130.7961,19.5217,0.0000,0.0000
130.7871,19.5109,0.0000,0.0000
130.7780,19.5002,0.0000,0.0000
130.7691,19.4895,0.0000,0.0000
130.7602,19.4788,0.0000,0.0000
130.7514,19.4682,0.0000,0.0000
130.7426,19.4576,0.0000,0.0000
130.7339,19.4471,0.0000,0.0000
130.7252,19.4366,0.0000,0.0000
130.7166,19.4261,0.0000,0.0000
130.7081,19.4157,0.0000,0.0000
130.6996,19.4053,0.0000,0.0000
130.6912,19.3950,0.0000,0.0000
130.6828,19.3847,0.0000,0.0000
130.6745,19.3745,0.0000,0.0000
130.6663,19.3643,0.0000,0.0000
130.6581,19.3541,0.0000,0.0000
130.6499,19.3440,0.0000,0.0000
130.6419,19.3340,0.0000,0.0000
130.6339,19.3240,0.0000,0.0000
130.6259,19.3140,0.0000,0.0000
130.6181,19.3041,0.0000,0.0000
